   1. the       		 3005번
   2. and       		 1885번
   3. was       		 1094번
   4. that      		 1010번
   5. had       		  715번
   6. you       		  665번
   7. with      		  540번
   8. not       		  499번
   9. for       		  461번
  10. his       		  425번
  11. have      		  384번
  12. this      		  366번
  13. him       		  334번
  14. one       		  329번
  15. said      		  309번
  16. little    		  305번
  17. but       		  294번
  18. from      		  292번
  19. all       		  287번
  20. would     		  249번
  21. are       		  235번
  22. what      		  233번
  23. were      		  217번
  24. which     		  211번
  25. more      		  207번
  26. like      		  205번
  27. time      		  196번
  28. them      		  186번
  29. will      		  186번
  30. they      		  181번
  31. could     		  179번
  32. prince    		  178번
  33. who       		  172번
  34. look      		  168번
  35. been      		  168번
  36. about     		  166번
  37. even      		  161번
  38. did       		  161번
  39. out       		  158번
  40. very      		  157번
  41. her       		  157번
  42. world     		  153번
  43. into      		  151번
  44. when      		  141번
  45. only      		  141번
  46. someth    		  137번
  47. know      		  137번
  48. myself    		  130번
  49. felt      		  130번
  50. now       		  129번
  51. too       		  127번
  52. any       		  125번
  53. there     		  124번
  54. can       		  122번
  55. then      		  118번
  56. again     		  111번
  57. other     		  111번
  58. never     		  109번
  59. much      		  109번
  60. she       		  109번
  61. has       		  109번
  62. its       		  106번
  63. way       		  105번
  64. than      		  102번
  65. life      		  102번
  66. seem      		  102번
  67. want      		  101번
  68. your      		   99번
  69. before    		   98번
  70. some      		   98번
  71. own       		   96번
  72. dont      		   94번
  73. how       		   94번
  74. our       		   94번
  75. come      		   92번
  76. long      		   92번
  77. back      		   91번
  78. made      		   91번
  79. new       		   90번
  80. ask       		   90번
  81. man       		   87번
  82. good      		   86번
  83. noth      		   84번
  84. once      		   84번
  85. see       		   83번
  86. everyth   		   82번
  87. their     		   82번
  88. within    		   81번
  89. first     		   81번
  90. dream     		   80번
  91. away      		   79번
  92. these     		   78번
  93. just      		   78번
  94. day       		   77번
  95. himself   		   76번
  96. become    		   76번
  97. most      		   76번
  98. planet    		   75번
  99. still     		   73번
 100. think     		   72번
 101. down      		   72번
 102. yet       		   72번
 103. face      		   70번
 104. must      		   70번
 105. old       		   70번
 106. through   		   69번
 107. love      		   69번
 108. make      		   69번
 109. came      		   69번
 110. each      		   67번
 111. where     		   66번
 112. same      		   66번
 113. over      		   66번
 114. anyth     		   65번
 115. always    		   64번
 116. though    		   63번
 117. saw       		   63번
 118. yes       		   63번
 119. people    		   62번
 120. because   		   61번
 121. feel      		   61번
 122. say       		   61번
 123. thought   		   60번
 124. mother    		   60번
 125. flower    		   60번
 126. house     		   59번
 127. well      		   59번
 128. walk      		   58번
 129. turn      		   58번
 130. dreams    		   57번
